Date,High,Low,Open,Close,Volume,Marketcap,BTC Balance,Fear_Greed_Index,CPI,M2,DXY,US10Y,Fed_Rate,Gold,SP500
2018-02-01,10288.7998046875,8812.2802734375,10237.2998046875,9170.5400390625,9959400448.0,154428564694.0,175839.0,30.0,249.529,13907.3,89.33000183105469,2.78,1.42,1344.300048828125,2821.97998046875
2018-02-02,9142.2802734375,7796.490234375,9142.2802734375,8830.75,12726899712.0,148725283812.0,175839.0,15.0,249.529,13907.3,89.43000030517578,2.84,1.42,1333.699951171875,2762.1298828125
2018-02-03,9430.75,8251.6298828125,8852.1201171875,9174.91015625,7263790080.0,154540000411.0,175839.0,40.0,249.529,13907.3,89.43000030517578,2.84,1.42,1333.699951171875,2762.1298828125
2018-02-04,9334.8701171875,8031.22021484375,9175.7001953125,8277.009765625,7073549824.0,139433682759.0,175839.0,24.0,249.529,13907.3,89.43000030517578,2.84,1.42,1333.699951171875,2762.1298828125
2018-02-05,8364.83984375,6756.68017578125,8270.5400390625,6955.27001953125,9285289984.0,117184385122.0,175839.0,11.0,249.529,13907.3,89.66999816894531,2.77,1.42,1333.0,2648.93994140625
2018-02-06,7850.7001953125,6048.259765625,7051.75,7754.0,13999800320.0,130658094648.0,175839.0,8.0,249.529,13907.3,90.02999877929688,2.79,1.42,1326.0999755859375,2695.139892578125
2018-02-07,8509.1103515625,7236.7900390625,7755.490234375,7621.2998046875,9169280000.0,128435001186.0,175839.0,36.0,249.529,13907.3,90.4000015258789,2.84,1.42,1311.5999755859375,2681.659912109375
2018-02-08,8558.76953125,7637.85986328125,7637.85986328125,8265.58984375,9346750464.0,139306699929.0,175839.0,30.0,249.529,13907.3,90.56999969482422,2.85,1.42,1316.9000244140625,2581.0
2018-02-09,8736.98046875,7884.7099609375,8271.83984375,8736.98046875,6784820224.0,147266052809.0,175839.0,44.0,249.529,13907.3,90.55999755859376,2.83,1.42,1313.0999755859375,2619.550048828125
2018-02-10,9122.5498046875,8295.4697265625,8720.080078125,8621.900390625,7780960256.0,145341842785.0,175839.0,54.0,249.529,13907.3,90.55999755859376,2.83,1.42,1313.0999755859375,2619.550048828125
2018-02-11,8616.1298828125,7931.10009765625,8616.1298828125,8129.97021484375,6122189824.0,137064586975.0,175839.0,31.0,249.529,13907.3,90.55999755859376,2.83,1.42,1313.0999755859375,2619.550048828125
2018-02-12,8985.919921875,8141.43017578125,8141.43017578125,8926.5703125,6256439808.0,150513128412.0,175839.0,42.0,249.529,13907.3,90.43000030517578,2.86,1.42,1324.199951171875,2656.0
2018-02-13,8958.4697265625,8455.41015625,8926.7197265625,8598.3095703125,5696719872.0,144995984203.0,175839.0,35.0,249.529,13907.3,90.18000030517578,2.83,1.42,1328.0999755859375,2662.93994140625
2018-02-14,9518.5400390625,8599.919921875,8599.919921875,9494.6298828125,7909819904.0,160131558835.0,175839.0,55.0,249.529,13907.3,90.12000274658205,2.91,1.42,1355.5,2698.6298828125
2018-02-15,10234.7998046875,9395.580078125,9488.3203125,10166.400390625,9062540288.0,171477807437.0,175839.0,71.0,249.529,13907.3,89.0,2.9,1.42,1352.0999755859375,2731.199951171875
2018-02-16,10324.099609375,9824.8203125,10135.7001953125,10233.900390625,7296159744.0,172637061144.0,175839.0,67.0,249.529,13907.3,89.2300033569336,2.87,1.42,1353.199951171875,2732.219970703125
2018-02-17,11139.5,10149.400390625,10207.5,11112.7001953125,8660880384.0,187482083882.0,175839.0,74.0,249.529,13907.3,89.2300033569336,2.87,1.42,1353.199951171875,2732.219970703125
